Show,Gigabytes,Seasons,AveragePerSeason,currently_on_air
The Venture Bros,13,6,2.166,6,1
The Walking Dead,32,7,4.571,7-0,1
The Young Pope,2.5,1,2.500,1,1
True Blood,52,7,7.428,7,0
Ugly Americans,4.9,2,2.450,2,0
Veep,11,5,2.200,6,1
Veronica Mars,22,3,7.333,3,0
Vikings,13,4,3.250,4,1
Welcome to Sweden,1.8,1,1.800,2,0
Westworld,2.5,1,2.500,1,1
When Calls the Heart,9.7,4,2.425,4,1
Whose Line Is It Anyway,43,10,4.300,12,1
Workaholics,15,7,2.142,7,1
